Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,04/06/2026,20:52,04/06/2026,21:00,WB1: POF | Orb: 0.79° | Duration: 8m,8m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,04/23/2026,16:52,04/23/2026,17:01,WB1: POF | Orb: 0.93° | Duration: 9m,9m,WB1-POF-021,Western Transits,#FFA500
WB1 POF,04/24/2026,04:59,04/24/2026,05:03,WB1: POF | Orb: 0.75° | Duration: 4m,4m,WB1-POF-022,Western Transits,#FFA500
WB1 POF,04/24/2026,17:48,04/24/2026,17:57,WB1: POF | Orb: 0.94° | Duration: 9m,9m,WB1-POF-023,Western Transits,#FFA500
WB1 POF,04/25/2026,04:21,04/25/2026,04:25,WB1: POF | Orb: 0.70° | Duration: 4m,4m,WB1-POF-024,Western Transits,#FFA500
WB1 POF,04/26/2026,03:42,04/26/2026,03:47,WB1: POF | Orb: 0.85° | Duration: 5m,5m,WB1-POF-025,Western Transits,#FFA500
WB1 POF,04/27/2026,03:02,04/27/2026,03:07,WB1: POF | Orb: 0.93° | Duration: 5m,5m,WB1-POF-026,Western Transits,#FFA500
WB1 POF,04/28/2026,02:21,04/28/2026,02:26,WB1: POF | Orb: 0.73° | Duration: 5m,5m,WB1-POF-027,Western Transits,#FFA500
WB1 POF,04/29/2026,01:37,04/29/2026,01:43,WB1: POF | Orb: 0.75° | Duration: 6m,6m,WB1-POF-028,Western Transits,#FFA500
WB1 POF,04/30/2026,00:50,04/30/2026,00:57,WB1: POF | Orb: 0.89° | Duration: 7m,7m,WB1-POF-029,Western Transits,#FFA500
WB1 POF,05/01/2026,00:01,05/01/2026,00:08,WB1: POF | Orb: 0.89° | Duration: 7m,7m,WB1-POF-030,Western Transits,#FFA500
WB1 POF,05/01/2026,23:10,05/01/2026,23:18,WB1: POF | Orb: 0.88° | Duration: 8m,8m,WB1-POF-031,Western Transits,#FFA500
WB1 POF,05/02/2026,22:17,05/02/2026,22:25,WB1: POF | Orb: 0.99° | Duration: 8m,8m,WB1-POF-032,Western Transits,#FFA500
WB1 POF,05/03/2026,21:24,05/03/2026,21:32,WB1: POF | Orb: 0.94° | Duration: 8m,8m,WB1-POF-033,Western Transits,#FFA500
WB1 POF,05/04/2026,20:31,05/04/2026,20:39,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-034,Western Transits,#FFA500
WB1 POF,05/05/2026,19:38,05/05/2026,19:46,WB1: POF | Orb: 0.81° | Duration: 8m,8m,WB1-POF-035,Western Transits,#FFA500
WB1 POF,05/06/2026,18:45,05/06/2026,18:53,WB1: POF | Orb: 0.83° | Duration: 8m,8m,WB1-POF-036,Western Transits,#FFA500
WB1 TRANSIT_YOGI,05/12/2026,04:32,05/12/2026,07:50,WB1: TRANSIT_YOGI | Orb: 0.99° | Duration: 198m,198m,WB1-TRANSIT_YOGI-037,Western Transits,#FFA500
WB1 POF,05/12/2026,05:22,05/12/2026,05:27,WB1: POF | Orb: 0.93° | Duration: 5m,5m,WB1-POF-038,Western Transits,#FFA500
WB1 POF,05/13/2026,05:58,05/13/2026,06:04,WB1: POF | Orb: 0.93° | Duration: 6m,6m,WB1-POF-039,Western Transits,#FFA500
WB1 POF,05/14/2026,06:39,05/14/2026,06:46,WB1: POF | Orb: 0.97° | Duration: 7m,7m,WB1-POF-040,Western Transits,#FFA500
WB1 POF,05/15/2026,07:27,05/15/2026,07:34,WB1: POF | Orb: 0.88° | Duration: 7m,7m,WB1-POF-041,Western Transits,#FFA500
WB1 POF,05/16/2026,08:22,05/16/2026,08:29,WB1: POF | Orb: 0.81° | Duration: 7m,7m,WB1-POF-042,Western Transits,#FFA500
WB1 POF,05/17/2026,09:22,05/17/2026,09:31,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-043,Western Transits,#FFA500
WB1 POF,05/18/2026,10:27,05/18/2026,10:36,WB1: POF | Orb: 0.87° | Duration: 9m,9m,WB1-POF-044,Western Transits,#FFA500
WB1 RISING,05/19/2026,06:45,05/30/2026,09:50,WB1: RISING | Orb: 1.00° | Duration: 16025m,16025m,WB1-RISING-045,Western Transits,#FFA500
WB1 JUPITER,05/19/2026,06:45,05/30/2026,09:50,WB1: JUPITER | Orb: 1.00° | Duration: 16025m,16025m,WB1-JUPITER-046,Western Transits,#FFA500
WB1 POF,05/19/2026,11:32,05/19/2026,11:41,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-047,Western Transits,#FFA500
WB1 MOON,05/20/2026,09:08,05/20/2026,12:26,WB1: MOON | Orb: 1.00° | Duration: 198m,198m,WB1-MOON-048,Western Transits,#FFA500
WB1 POF,05/20/2026,12:35,05/20/2026,12:44,WB1: POF | Orb: 0.93° | Duration: 9m,9m,WB1-POF-049,Western Transits,#FFA500
WB1 POF,05/21/2026,04:38,05/21/2026,04:42,WB1: POF | Orb: 0.74° | Duration: 4m,4m,WB1-POF-050,Western Transits,#FFA500
WB1 POF,05/21/2026,13:35,05/21/2026,13:44,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-051,Western Transits,#FFA500
WB1 POF,05/22/2026,03:58,05/22/2026,04:02,WB1: POF | Orb: 0.74° | Duration: 4m,4m,WB1-POF-052,Western Transits,#FFA500
WB1 POF,05/22/2026,14:33,05/22/2026,14:41,WB1: POF | Orb: 0.81° | Duration: 8m,8m,WB1-POF-053,Western Transits,#FFA500
WB1 POF,05/23/2026,03:20,05/23/2026,03:24,WB1: POF | Orb: 0.74° | Duration: 4m,4m,WB1-POF-054,Western Transits,#FFA500
WB1 POF,05/23/2026,15:27,05/23/2026,15:36,WB1: POF | Orb: 0.94° | Duration: 9m,9m,WB1-POF-055,Western Transits,#FFA500
WB1 POF,05/24/2026,02:43,05/24/2026,02:47,WB1: POF | Orb: 0.74° | Duration: 4m,4m,WB1-POF-056,Western Transits,#FFA500
WB1 POF,05/24/2026,16:20,05/24/2026,16:29,WB1: POF | Orb: 0.90° | Duration: 9m,9m,WB1-POF-057,Western Transits,#FFA500
WB1 POF,05/25/2026,02:06,05/25/2026,02:11,WB1: POF | Orb: 0.78° | Duration: 5m,5m,WB1-POF-058,Western Transits,#FFA500
WB1 POF,05/25/2026,17:12,05/25/2026,17:20,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-059,Western Transits,#FFA500
WB1 POF,05/26/2026,01:28,05/26/2026,01:33,WB1: POF | Orb: 0.91° | Duration: 5m,5m,WB1-POF-060,Western Transits,#FFA500
WB1 POF,05/26/2026,18:03,05/26/2026,18:12,WB1: POF | Orb: 0.89° | Duration: 9m,9m,WB1-POF-061,Western Transits,#FFA500
WB1 POF,05/27/2026,00:49,05/27/2026,00:55,WB1: POF | Orb: 0.89° | Duration: 6m,6m,WB1-POF-062,Western Transits,#FFA500
WB1 POF,05/28/2026,00:08,05/28/2026,00:14,WB1: POF | Orb: 0.87° | Duration: 6m,6m,WB1-POF-063,Western Transits,#FFA500
WB1 POF,05/28/2026,23:25,05/28/2026,23:31,WB1: POF | Orb: 0.74° | Duration: 6m,6m,WB1-POF-064,Western Transits,#FFA500
WB1 POF,05/29/2026,22:38,05/29/2026,22:45,WB1: POF | Orb: 0.99° | Duration: 7m,7m,WB1-POF-065,Western Transits,#FFA500
WB1 POF,05/30/2026,21:50,05/30/2026,21:57,WB1: POF | Orb: 0.85° | Duration: 7m,7m,WB1-POF-066,Western Transits,#FFA500
WB1 POF,05/31/2026,20:59,05/31/2026,21:07,WB1: POF | Orb: 0.92° | Duration: 8m,8m,WB1-POF-067,Western Transits,#FFA500
WB1 POF,06/01/2026,20:07,06/01/2026,20:15,WB1: POF | Orb: 0.88° | Duration: 8m,8m,WB1-POF-068,Western Transits,#FFA500
WB1 POF,06/02/2026,19:14,06/02/2026,19:22,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-069,Western Transits,#FFA500
WB1 POF,06/03/2026,18:23,06/03/2026,18:28,WB1: POF | Orb: 0.28° | Duration: 5m,5m,WB1-POF-070,Western Transits,#FFA500
