Subject,Start Date,Start Time,End Date,End Time,Description,Duration,Transit ID,Category,Calendar Color
WB1 POF,04/05/2026,21:36,04/05/2026,21:45,WB1: POF | Orb: 0.98° | Duration: 9m,9m,WB1-POF-001,Western Transits,#FFA500
WB1 POF,04/24/2026,04:34,04/24/2026,04:38,WB1: POF | Orb: 0.78° | Duration: 4m,4m,WB1-POF-023,Western Transits,#FFA500
WB1 POF,04/24/2026,17:23,04/24/2026,17:32,WB1: POF | Orb: 0.84° | Duration: 9m,9m,WB1-POF-024,Western Transits,#FFA500
WB1 POF,04/25/2026,04:01,04/25/2026,04:05,WB1: POF | Orb: 0.99° | Duration: 4m,4m,WB1-POF-025,Western Transits,#FFA500
WB1 POF,04/26/2026,03:28,04/26/2026,03:32,WB1: POF | Orb: 0.91° | Duration: 4m,4m,WB1-POF-026,Western Transits,#FFA500
WB1 POF,04/27/2026,02:53,04/27/2026,02:58,WB1: POF | Orb: 0.99° | Duration: 5m,5m,WB1-POF-027,Western Transits,#FFA500
WB1 POF,04/28/2026,02:16,04/28/2026,02:21,WB1: POF | Orb: 0.91° | Duration: 5m,5m,WB1-POF-028,Western Transits,#FFA500
WB1 POF,04/29/2026,01:36,04/29/2026,01:41,WB1: POF | Orb: 0.80° | Duration: 5m,5m,WB1-POF-029,Western Transits,#FFA500
WB1 POF,04/30/2026,00:52,04/30/2026,00:58,WB1: POF | Orb: 0.81° | Duration: 6m,6m,WB1-POF-030,Western Transits,#FFA500
WB1 POF,05/01/2026,00:04,05/01/2026,00:11,WB1: POF | Orb: 0.87° | Duration: 7m,7m,WB1-POF-031,Western Transits,#FFA500
WB1 POF,05/01/2026,23:13,05/01/2026,23:20,WB1: POF | Orb: 0.82° | Duration: 7m,7m,WB1-POF-032,Western Transits,#FFA500
WB1 POF,05/02/2026,22:19,05/02/2026,22:27,WB1: POF | Orb: 0.82° | Duration: 8m,8m,WB1-POF-033,Western Transits,#FFA500
WB1 POF,05/03/2026,21:23,05/03/2026,21:31,WB1: POF | Orb: 0.85° | Duration: 8m,8m,WB1-POF-034,Western Transits,#FFA500
WB1 POF,05/04/2026,20:26,05/04/2026,20:35,WB1: POF | Orb: 0.88° | Duration: 9m,9m,WB1-POF-035,Western Transits,#FFA500
WB1 POF,05/05/2026,19:29,05/05/2026,19:37,WB1: POF | Orb: 0.83° | Duration: 8m,8m,WB1-POF-036,Western Transits,#FFA500
WB1 POF,05/06/2026,18:31,05/06/2026,18:40,WB1: POF | Orb: 0.96° | Duration: 9m,9m,WB1-POF-037,Western Transits,#FFA500
WB1 TRANSIT_YOGI,05/12/2026,04:32,05/12/2026,07:50,WB1: TRANSIT_YOGI | Orb: 0.99° | Duration: 198m,198m,WB1-TRANSIT_YOGI-038,Western Transits,#FFA500
WB1 POF,05/12/2026,04:41,05/12/2026,04:44,WB1: POF | Orb: 0.54° | Duration: 3m,3m,WB1-POF-039,Western Transits,#FFA500
WB1 POF,05/13/2026,05:10,05/13/2026,05:15,WB1: POF | Orb: 0.91° | Duration: 5m,5m,WB1-POF-040,Western Transits,#FFA500
WB1 POF,05/14/2026,05:46,05/14/2026,05:51,WB1: POF | Orb: 0.73° | Duration: 5m,5m,WB1-POF-041,Western Transits,#FFA500
WB1 POF,05/15/2026,06:28,05/15/2026,06:35,WB1: POF | Orb: 0.98° | Duration: 7m,7m,WB1-POF-042,Western Transits,#FFA500
WB1 POF,05/16/2026,07:20,05/16/2026,07:28,WB1: POF | Orb: 0.91° | Duration: 8m,8m,WB1-POF-043,Western Transits,#FFA500
WB1 POF,05/17/2026,08:21,05/17/2026,08:29,WB1: POF | Orb: 0.82° | Duration: 8m,8m,WB1-POF-044,Western Transits,#FFA500
WB1 POF,05/18/2026,09:28,05/18/2026,09:37,WB1: POF | Orb: 0.85° | Duration: 9m,9m,WB1-POF-045,Western Transits,#FFA500
WB1 RISING,05/19/2026,06:45,05/30/2026,09:50,WB1: RISING | Orb: 1.00° | Duration: 16025m,16025m,WB1-RISING-046,Western Transits,#FFA500
WB1 JUPITER,05/19/2026,06:45,05/30/2026,09:50,WB1: JUPITER | Orb: 1.00° | Duration: 16025m,16025m,WB1-JUPITER-047,Western Transits,#FFA500
WB1 POF,05/19/2026,10:38,05/19/2026,10:47,WB1: POF | Orb: 0.85° | Duration: 9m,9m,WB1-POF-048,Western Transits,#FFA500
WB1 MOON,05/20/2026,09:08,05/20/2026,12:26,WB1: MOON | Orb: 1.00° | Duration: 198m,198m,WB1-MOON-049,Western Transits,#FFA500
WB1 POF,05/20/2026,11:47,05/20/2026,11:57,WB1: POF | Orb: 0.92° | Duration: 10m,10m,WB1-POF-050,Western Transits,#FFA500
WB1 POF,05/21/2026,03:59,05/21/2026,04:03,WB1: POF | Orb: 0.79° | Duration: 4m,4m,WB1-POF-051,Western Transits,#FFA500
WB1 POF,05/21/2026,12:54,05/21/2026,13:04,WB1: POF | Orb: 0.89° | Duration: 10m,10m,WB1-POF-052,Western Transits,#FFA500
WB1 POF,05/22/2026,03:25,05/22/2026,03:28,WB1: POF | Orb: 0.67° | Duration: 3m,3m,WB1-POF-053,Western Transits,#FFA500
WB1 POF,05/22/2026,13:58,05/22/2026,14:07,WB1: POF | Orb: 0.84° | Duration: 9m,9m,WB1-POF-054,Western Transits,#FFA500
WB1 POF,05/23/2026,02:52,05/23/2026,02:56,WB1: POF | Orb: 0.97° | Duration: 4m,4m,WB1-POF-055,Western Transits,#FFA500
WB1 POF,05/23/2026,14:59,05/23/2026,15:08,WB1: POF | Orb: 0.85° | Duration: 9m,9m,WB1-POF-056,Western Transits,#FFA500
WB1 POF,05/24/2026,02:21,05/24/2026,02:25,WB1: POF | Orb: 0.76° | Duration: 4m,4m,WB1-POF-057,Western Transits,#FFA500
WB1 POF,05/24/2026,15:58,05/24/2026,16:07,WB1: POF | Orb: 0.86° | Duration: 9m,9m,WB1-POF-058,Western Transits,#FFA500
WB1 POF,05/25/2026,01:49,05/25/2026,01:53,WB1: POF | Orb: 0.93° | Duration: 4m,4m,WB1-POF-059,Western Transits,#FFA500
WB1 POF,05/25/2026,16:55,05/25/2026,17:05,WB1: POF | Orb: 0.98° | Duration: 10m,10m,WB1-POF-060,Western Transits,#FFA500
WB1 POF,05/26/2026,01:17,05/26/2026,01:21,WB1: POF | Orb: 0.69° | Duration: 4m,4m,WB1-POF-061,Western Transits,#FFA500
WB1 POF,05/26/2026,17:52,05/26/2026,18:02,WB1: POF | Orb: 0.93° | Duration: 10m,10m,WB1-POF-062,Western Transits,#FFA500
WB1 POF,05/27/2026,00:42,05/27/2026,00:47,WB1: POF | Orb: 0.91° | Duration: 5m,5m,WB1-POF-063,Western Transits,#FFA500
WB1 POF,05/28/2026,00:05,05/28/2026,00:10,WB1: POF | Orb: 0.88° | Duration: 5m,5m,WB1-POF-064,Western Transits,#FFA500
WB1 POF,05/28/2026,23:25,05/28/2026,23:31,WB1: POF | Orb: 0.79° | Duration: 6m,6m,WB1-POF-065,Western Transits,#FFA500
WB1 POF,05/29/2026,22:41,05/29/2026,22:47,WB1: POF | Orb: 0.79° | Duration: 6m,6m,WB1-POF-066,Western Transits,#FFA500
WB1 POF,05/30/2026,21:53,05/30/2026,22:00,WB1: POF | Orb: 0.85° | Duration: 7m,7m,WB1-POF-067,Western Transits,#FFA500
WB1 POF,05/31/2026,21:02,05/31/2026,21:10,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-068,Western Transits,#FFA500
WB1 POF,06/01/2026,20:08,06/01/2026,20:16,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-069,Western Transits,#FFA500
WB1 POF,06/02/2026,19:12,06/02/2026,19:20,WB1: POF | Orb: 0.80° | Duration: 8m,8m,WB1-POF-070,Western Transits,#FFA500
WB1 POF,06/03/2026,18:17,06/03/2026,18:23,WB1: POF | Orb: 0.35° | Duration: 6m,6m,WB1-POF-071,Western Transits,#FFA500
